Date,Fourmi,Rôle,Bot,Mission
2025-07-01,Alpha,Espion,Shadow,Analyse réseau darknet
2025-07-01,Beta,Analyste,Nova,Extraction données marché
2025-07-02,Gamma,Berserk,Titan,Attaque predictive BTC
2025-07-02,Delta,Espion,Shadow,Infiltration bot adverse
2025-07-03,Epsilon,Analyste,Nova,Scan liquidité altcoins
2025-07-03,Zeta,Berserk,Titan,Déclenchement scalping
2025-07-04,Alpha,Espion,Shadow,Relevé signaux anonymes
2025-07-04,Beta,Analyste,Nova,Synchronisation trend ETH
2025-07-04,Gamma,Berserk,Titan,Sweep position court terme
2025-07-04,Delta,Espion,Shadow,Reconnaissance arbitrage
2025-07-07,fourmi_01,surveillance,Fourmi,Analyse comportementale
2025-07-07,fourmi_01,transfert,Berserk,Déploiement mission
